 #Elements L1MissRate L2MissRate L3MissRate
       100       0.00       4.31       0.00
       200       0.01       1.65       0.00
       400       0.05       0.48       0.00
       600      38.79       0.00       0.00
       800      48.78       0.00       0.00
      1000      55.51       0.00      12.20
      2000      49.30       0.00       7.57
      4000      49.47       0.00       0.00
      6000      48.83       0.00      38.64
      8000      49.11       0.00       4.42
     10000      48.85       0.02       0.00
     20000      48.57      63.21       0.00
     40000      48.30      99.98       0.00
     60000      48.40      99.99       0.00
     80000      48.32      99.99       0.27
    100000      48.36      99.99       0.34
    200000      48.06     100.00       9.96
    400000      46.60     100.00      50.50
    600000      45.99     100.00      73.95
    800000      45.89     100.00      76.93
   1000000      45.46     100.00      83.48
