 #Elements L1MissRate L2MissRate L3MissRate
       100       0.00       2.58       0.00
       200       0.02       0.83       0.00
       400       0.05       0.09       0.00
       600       5.26       0.00       0.00
       800       9.43       0.00       8.33
      1000      13.80       0.00       0.00
      2000       9.74       0.00       0.00
      4000      10.10       0.00       0.00
      6000       9.13       0.01       0.00
      8000       9.98       0.20       1.63
     10000       9.89      13.23       0.00
     20000       9.55      65.47       0.00
     40000       9.87      99.85       0.00
     60000       9.74      99.91       0.06
     80000       9.77      99.93       0.22
    100000       9.69      99.95       0.62
    200000       9.89      99.98      14.15
    400000       9.89      99.99      53.01
    600000       9.80      99.99      81.21
    800000       9.81      99.99      78.58
   1000000       9.80      99.99      82.84
